time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-12T10:55:00.350Z,17.9033,-66.8765,7,4.5,ml,14,217,0.1803,0.21,pr,pr2020012007,2020-01-29T10:47:26.040Z,"10km SSE of Guanica, Puerto Rico",earthquake,1.28,1.8,0.29,9,reviewed,pr,pr
2020-01-12T07:59:56.950Z,17.9556,-66.8865,8,4.9,ml,12,199,0.1583,0.32,pr,pr2020012004,2020-02-20T09:21:03.040Z,"1km SW of Palomas, Puerto Rico",earthquake,1.11,2.07,0,0,reviewed,pr,pr
2020-01-11T23:49:40.620Z,17.9423,-66.8395,8,4.6,ml,15,201,0.0515,0.28,pr,pr2020011032,2020-01-31T04:52:21.233Z,"11km SSE of Indios, Puerto Rico",earthquake,1.07,0.96,0.23,9,reviewed,pr,pr
2020-01-11T12:56:22.986Z,17.8238,-66.7941,10,5.2,mb,,190,0.17,0.88,us,us70006ye2,2020-02-08T13:37:32.792Z,"19km S of Indios, Puerto Rico",earthquake,2.2,2,0.087,48,reviewed,us,us
2020-01-11T12:54:45.910Z,17.949,-66.8508,5,5.9,mwp,12,199,0.1945,0.31,pr,pr2020011010,2020-03-20T15:00:51.552Z,"11km SSE of Indios, Puerto Rico",earthquake,1.11,1.58,0,0,reviewed,pr,pr
2020-01-11T02:28:21.460Z,17.9923,-66.7946,4,4.8,ml,12,179,0.0863,0.3,pr,pr2020011001,2020-03-13T15:49:45.040Z,"2km S of Magas Arriba, Puerto Rico",earthquake,1.11,1.13,0.09,6,reviewed,pr,pr
2020-01-11T02:16:50.793Z,13.6003,-91.2661,35,4.9,mb,,79,1.008,1.36,us,us70006y2u,2020-02-08T02:43:35.349Z,"58km SSW of La Gomera, Guatemala",earthquake,6.5,1.9,0.027,437,reviewed,us,us
2020-01-10T22:26:25.000Z,17.935,-66.883,9,5.2,ml,15,216,0.0403,0.15,pr,pr2020010060,2020-03-27T01:37:35.040Z,"5km SE of Maria Antonia, Puerto Rico",earthquake,0.97,0.67,0.2,5,reviewed,pr,pr
2020-01-10T16:00:04.088Z,12.7772,-88.6296,35,4.8,mwr,,134,1.571,1.06,us,us70006xke,2020-03-17T18:55:51.415Z,"56km S of Puerto El Triunfo, El Salvador",earthquake,7.9,2,0.066,22,reviewed,us,us
2020-01-08T20:04:18.060Z,17.915,-66.7035,6,4.7,ml,14,211,0.1606,0.16,pr,pr2020008055,2020-02-12T18:23:30.040Z,"7km SSE of Tallaboa, Puerto Rico",earthquake,0.93,0.96,0.5,8,reviewed,pr,pr
